"Path","Lines","Purpose"
"ios\Flutter\Generated.xcconfig","15","iOS platform/build configuration, runner code, or asset resource."
"ios\Flutter\Release.xcconfig","1","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner.xcodeproj\project.pbxproj","605","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner.xcodeproj\project.xcworkspace\contents.xcworkspacedata","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist","8","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner.xcodeproj\project.xcworkspace\xcshareddata\WorkspaceSettings.xcsettings","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner.xcodeproj\xcshareddata\xcschemes\Runner.xcscheme","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner.xcworkspace\contents.xcworkspacedata","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist","8","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner.xcworkspace\xcshareddata\WorkspaceSettings.xcsettings","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\AppDelegate.swift","14","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json","122","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-1024x1024@1x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@1x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@2x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-20x20@3x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@1x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@2x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-29x29@3x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@1x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@2x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-40x40@3x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@2x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-60x60@3x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@1x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-76x76@2x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\AppIcon.appiconset\Icon-App-83.5x83.5@2x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json","23","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@2x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\LaunchImage.imageset\LaunchImage@3x.png","","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md","3","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Base.lproj\LaunchScreen.storyboard","37","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Base.lproj\Main.storyboard","26","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\GeneratedPluginRegistrant.h","13","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\GeneratedPluginRegistrant.m","21","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Info.plist","70","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\Runner-Bridging-Header.h","1","iOS platform/build configuration, runner code, or asset resource."
"ios\Runner\SceneDelegate.swift","4","iOS platform/build configuration, runner code, or asset resource."
"ios\RunnerTests\RunnerTests.swift","9","iOS platform/build configuration, runner code, or asset resource."
"lib\main.dart","10","App entrypoint that initializes storage and dependency graph, then runs the root widget."
"lib\src\app\app.dart","20","Application shell wiring for routing, bootstrap DI, and top-level app configuration."
"lib\src\app\di.dart","40","Application shell wiring for routing, bootstrap DI, and top-level app configuration."
"lib\src\app\router.dart","81","Application shell wiring for routing, bootstrap DI, and top-level app configuration."
"lib\src\core\constants\app_strings.dart","15","Shared constant definitions used across features."
"lib\src\core\storage\hive_boxes.dart","23","Local storage bootstrap and Hive box key declarations."
"lib\src\core\theme\app_colors.dart","50","Centralized theme and design token definitions."
"lib\src\core\theme\app_theme.dart","126","Centralized theme and design token definitions."
"lib\src\core\utils\id.dart","4","Small reusable utility helpers."
"lib\src\core\widgets\gradient_scaffold.dart","55","Reusable cross-feature UI components."
"lib\src\core\widgets\hero_banner.dart","68","Reusable cross-feature UI components."
"lib\src\home\presentation\home_page.dart","78","Home hub screens/widgets that let users choose a game mode."
"lib\src\home\presentation\widgets\game_card.dart","121","Home hub screens/widgets that let users choose a game mode."
"lib\src\imposter\data\models\imposter_preferences_dto.dart","85","DTO and serialization mapping for Imposter persisted/asset data."
"lib\src\imposter\data\models\word_pack_dto.dart","54","DTO and serialization mapping for Imposter persisted/asset data."
"lib\src\imposter\data\repositories\imposter_settings_repository_impl.dart","25","Imposter data-layer repository implementations over local sources."
"lib\src\imposter\data\repositories\word_pack_repository_impl.dart","38","Imposter data-layer repository implementations over local sources."
"lib\src\imposter\data\sources\bundled_word_source.dart","31","Imposter data sources for bundled assets and Hive persistence."
"lib\src\imposter\data\sources\imposter_local_source.dart","26","Imposter data sources for bundled assets and Hive persistence."
"lib\src\imposter\data\sources\imposter_settings_local_source.dart","19","Imposter data sources for bundled assets and Hive persistence."
"lib\src\imposter\domain\engine\round_engine.dart","163","Pure domain game rules and round-resolution engine for Imposter."
"lib\src\imposter\domain\entities\game_config.dart","71","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\game_session.dart","31","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\game_setup.dart","12","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\imposter_mode.dart","10","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\imposter_preferences.dart","40","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\player.dart","25","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\role.dart","32","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\round_assignment.dart","24","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\round_result.dart","27","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\entities\word_pack.dart","36","Imposter immutable domain entity and value-object definitions."
"lib\src\imposter\domain\repositories\imposter_settings_repository.dart","7","Imposter repository contracts consumed by presentation/domain logic."
"lib\src\imposter\domain\repositories\word_pack_repository.dart","11","Imposter repository contracts consumed by presentation/domain logic."
"lib\src\imposter\presentation\game\game_bloc.dart","207","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\game_event.dart","67","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\game_state.dart","152","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\pages\game_page.dart","123","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\widgets\discussion_view.dart","98","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\widgets\game_over_view.dart","133","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\widgets\imposter_guessing_view.dart","110","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\widgets\role_reveal_view.dart","220","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\widgets\round_result_view.dart","212","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\widgets\secret_voting_view.dart","186","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\game\widgets\voting_view.dart","115","Imposter game presentation state machine and phase-specific views."
"lib\src\imposter\presentation\packs\pack_editor_cubit.dart","116","Imposter custom word-pack management UI and cubits."
"lib\src\imposter\presentation\packs\pack_list_cubit.dart","44","Imposter custom word-pack management UI and cubits."
"lib\src\imposter\presentation\packs\pages\pack_editor_page.dart","166","Imposter custom word-pack management UI and cubits."
"lib\src\imposter\presentation\packs\pages\pack_list_page.dart","151","Imposter custom word-pack management UI and cubits."
"lib\src\imposter\presentation\rules_page.dart","241","Imposter rules/help screen content and layout."
"lib\src\imposter\presentation\setup\imposter_home_page.dart","116","Imposter game setup flow UI and form-state cubit/state."
"lib\src\imposter\presentation\setup\pages\setup_page.dart","597","Imposter game setup flow UI and form-state cubit/state."
"lib\src\imposter\presentation\setup\setup_cubit.dart","166","Imposter game setup flow UI and form-state cubit/state."
"lib\src\imposter\presentation\setup\setup_state.dart","122","Imposter game setup flow UI and form-state cubit/state."
"lib\src\mafia\domain\engine\mafia_engine.dart","104","Pure domain game rules and turn-resolution engine for Mafia."
"lib\src\mafia\domain\entities\mafia_config.dart","57","Mafia immutable domain entity and value-object definitions."
"lib\src\mafia\domain\entities\mafia_player.dart","12","Mafia immutable domain entity and value-object definitions."
"lib\src\mafia\domain\entities\mafia_role.dart","24","Mafia immutable domain entity and value-object definitions."
"lib\src\mafia\domain\entities\mafia_session.dart","55","Mafia immutable domain entity and value-object definitions."
"lib\src\mafia\domain\entities\mafia_setup.dart","11","Mafia immutable domain entity and value-object definitions."
"lib\src\mafia\domain\entities\night_resolution.dart","14","Mafia immutable domain entity and value-object definitions."
"lib\src\mafia\presentation\game\mafia_game_bloc.dart","201","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\mafia_game_event.dart","55","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\mafia_game_state.dart","129","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\pages\mafia_game_page.dart","127","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\widgets\mafia_day_vote_view.dart","89","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\widgets\mafia_game_over_view.dart","135","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\widgets\mafia_night_view.dart","271","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\widgets\mafia_player_tile.dart","67","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\widgets\mafia_recap_view.dart","166","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\widgets\mafia_role_reveal_view.dart","175","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\game\widgets\mafia_role_visuals.dart","27","Mafia game presentation state machine and phase-specific views."
"lib\src\mafia\presentation\mafia_home_page.dart","111","Mafia feature landing page and entry actions."
"lib\src\mafia\presentation\mafia_rules_page.dart","225","Mafia rules/help screen content and layout."
"lib\src\mafia\presentation\setup\mafia_setup_cubit.dart","96","Mafia game setup flow UI and form-state cubit/state."
"lib\src\mafia\presentation\setup\mafia_setup_page.dart","265","Mafia game setup flow UI and form-state cubit/state."
"linux\.gitignore","1","Linux desktop runner/build configuration and generated plugin wiring."
"linux\CMakeLists.txt","104","Linux desktop runner/build configuration and generated plugin wiring."
"linux\flutter\CMakeLists.txt","79","Linux desktop runner/build configuration and generated plugin wiring."
"linux\flutter\generated_plugin_registrant.cc","7","Linux desktop runner/build configuration and generated plugin wiring."
"linux\flutter\generated_plugin_registrant.h","10","Linux desktop runner/build configuration and generated plugin wiring."
"linux\flutter\generated_plugins.cmake","19","Linux desktop runner/build configuration and generated plugin wiring."
"linux\runner\CMakeLists.txt","21","Linux desktop runner/build configuration and generated plugin wiring."
"linux\runner\main.cc","5","Linux desktop runner/build configuration and generated plugin wiring."
"linux\runner\my_application.cc","120","Linux desktop runner/build configuration and generated plugin wiring."
"linux\runner\my_application.h","17","Linux desktop runner/build configuration and generated plugin wiring."
"macos\.gitignore","6","macOS platform/build configuration, runner code, or asset resource."
"macos\Flutter\ephemeral\flutter_export_environment.sh","13","macOS platform/build configuration, runner code, or asset resource."
"macos\Flutter\ephemeral\flutter_native_integration.env","","macOS platform/build configuration, runner code, or asset resource."
"macos\Flutter\ephemeral\Flutter-Generated.xcconfig","12","macOS platform/build configuration, runner code, or asset resource."
"macos\Flutter\Flutter-Debug.xcconfig","1","macOS platform/build configuration, runner code, or asset resource."
"macos\Flutter\Flutter-Release.xcconfig","1","macOS platform/build configuration, runner code, or asset resource."
"macos\Flutter\GeneratedPluginRegistrant.swift","11","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner.xcodeproj\project.pbxproj","689","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner.xcodeproj\project.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist","8","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner.xcodeproj\xcshareddata\xcschemes\Runner.xcscheme","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner.xcworkspace\contents.xcworkspacedata","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner.xcworkspace\xcshareddata\IDEWorkspaceChecks.plist","8","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\AppDelegate.swift","11","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_1024.png","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_128.png","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_16.png","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_256.png","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_32.png","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_512.png","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Assets.xcassets\AppIcon.appiconset\app_icon_64.png","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json","68","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Base.lproj\MainMenu.xib","","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Configs\AppInfo.xcconfig","11","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Configs\Debug.xcconfig","2","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Configs\Release.xcconfig","2","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Configs\Warnings.xcconfig","13","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\DebugProfile.entitlements","12","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Info.plist","32","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\MainFlutterWindow.swift","12","macOS platform/build configuration, runner code, or asset resource."
"macos\Runner\Release.entitlements","8","macOS platform/build configuration, runner code, or asset resource."
"macos\RunnerTests\RunnerTests.swift","9","macOS platform/build configuration, runner code, or asset resource."
"metadata","","Flutter tool metadata for project/toolchain integration."
"pubspec.lock","","Resolved dependency lockfile with pinned package versions."
"pubspec.yaml","84","Dart/Flutter package manifest declaring dependencies and assets."
"README.md","110","Project documentation describing features, architecture, and setup."
"test\imposter\data\bundled_word_source_test.dart","20","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\imposter\data\imposter_settings_repository_impl_test.dart","69","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\imposter\data\word_pack_dto_test.dart","49","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\imposter\data\word_pack_repository_impl_test.dart","81","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\imposter\domain\round_engine_test.dart","300","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\imposter\presentation\game_bloc_test.dart","187","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\imposter\presentation\pack_editor_cubit_test.dart","113","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\imposter\presentation\pack_list_cubit_test.dart","48","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\imposter\presentation\setup_cubit_test.dart","216","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\mafia\domain\mafia_engine_test.dart","149","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\mafia\presentation\mafia_game_bloc_test.dart","153","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"test\widget_test.dart","11","Automated test file validating data, domain, bloc/cubit, or widget behavior."
"web\favicon.png","","Web app shell files, icons, and PWA manifest resources."
"web\icons\Icon-192.png","","Web app shell files, icons, and PWA manifest resources."
"web\icons\Icon-512.png","","Web app shell files, icons, and PWA manifest resources."
"web\icons\Icon-maskable-192.png","","Web app shell files, icons, and PWA manifest resources."
"web\icons\Icon-maskable-512.png","","Web app shell files, icons, and PWA manifest resources."
"web\index.html","38","Web app shell files, icons, and PWA manifest resources."
"web\manifest.json","35","Web app shell files, icons, and PWA manifest resources."
"windows\.gitignore","14","Windows desktop runner/build configuration and generated plugin wiring."
"windows\CMakeLists.txt","89","Windows desktop runner/build configuration and generated plugin wiring."
"windows\flutter\CMakeLists.txt","98","Windows desktop runner/build configuration and generated plugin wiring."
"windows\flutter\generated_plugin_registrant.cc","7","Windows desktop runner/build configuration and generated plugin wiring."
"windows\flutter\generated_plugin_registrant.h","10","Windows desktop runner/build configuration and generated plugin wiring."
"windows\flutter\generated_plugins.cmake","19","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\CMakeLists.txt","34","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\flutter_window.cpp","56","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\flutter_window.h","25","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\main.cpp","34","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\resource.h","15","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\resources\app_icon.ico","","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\runner.exe.manifest","","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\Runner.rc","98","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\utils.cpp","56","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\utils.h","14","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\win32_window.cpp","234","Windows desktop runner/build configuration and generated plugin wiring."
"windows\runner\win32_window.h","79","Windows desktop runner/build configuration and generated plugin wiring."
